nohup: ignoring input
2026-09-17 11:39:23,113 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2016.11.tif.gz (attempt 1/4)
2026-09-17 11:39:29,287 | INFO    | ingestion.chirps | Processed 2016-11
2026-09-17 11:39:29,287 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2016.12.tif.gz (attempt 1/4)
2026-09-17 11:39:35,213 | INFO    | ingestion.chirps | Processed 2016-12
2026-09-17 11:39:35,214 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2017.01.tif.gz (attempt 1/4)
2026-09-17 11:39:41,592 | INFO    | ingestion.chirps | Processed 2017-01
2026-09-17 11:39:41,592 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2017.02.tif.gz (attempt 1/4)
2026-09-17 11:39:47,627 | INFO    | ingestion.chirps | Processed 2017-02
2026-09-17 11:39:47,628 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2017.03.tif.gz (attempt 1/4)
2026-09-17 11:39:53,106 | INFO    | ingestion.chirps | Processed 2017-03
2026-09-17 11:39:53,106 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2017.04.tif.gz (attempt 1/4)
2026-09-17 11:39:59,045 | INFO    | ingestion.chirps | Processed 2017-04
2026-09-17 11:39:59,045 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2017.05.tif.gz (attempt 1/4)
2026-09-17 11:40:05,938 | INFO    | ingestion.chirps | Processed 2017-05
2026-09-17 11:40:05,939 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2017.06.tif.gz (attempt 1/4)
2026-09-17 11:40:12,596 | INFO    | ingestion.chirps | Processed 2017-06
2026-09-17 11:40:12,596 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2017.07.tif.gz (attempt 1/4)
2026-09-17 11:40:19,682 | INFO    | ingestion.chirps | Processed 2017-07
2026-09-17 11:40:19,682 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2017.08.tif.gz (attempt 1/4)
2026-09-17 11:40:27,234 | INFO    | ingestion.chirps | Processed 2017-08
2026-09-17 11:40:27,234 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2017.09.tif.gz (attempt 1/4)
2026-09-17 11:40:33,453 | INFO    | ingestion.chirps | Processed 2017-09
2026-09-17 11:40:33,454 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2017.10.tif.gz (attempt 1/4)
